well_id,well_name,lat,long,gse,aquifer_id
USGS-423500121554401,"34.00S/07.00E-31BDB01",42.583425000000005,-121.92887222222222,4165,201
USGS-423509121444001,"34.00S/08.00E-34AAC01",42.5858319869296,-121.744558547167,4293,ID_00000
USGS-423510121404201,"34.00S/09.00E-32BBD01",42.5860944580249,-121.678307306872,4290,ID_00000
USGS-423513121534501,"34.00S/07.00E-32AAA01",42.5868693256499,-121.897013087574,4490,201
USGS-423514121423501,"34.00S/08.00E-36ABB02",42.5872604731274,-121.709588479574,4297,ID_00000
USGS-423514121432701,"34.00S/08.00E-35AAB01",42.5872351762607,-121.724033194973,4278,ID_00000
USGS-423516121432401,"34.00S/08.00E-35AAA01",42.5877574081673,-121.723374861953,4270,ID_00000
USGS-423517121423401,"34.00S/08.00E-36ABB01",42.5879799176389,-121.709330159003,4296,ID_00000
USGS-423519121455201,"34S/8E-28DDC",42.5886761467806,-121.764378581812,4318,ID_00000
USGS-423525121430601,"34.00S/08.00E-25CCA01",42.5902324950505,-121.718266492933,4322,ID_00000
USGS-423525121511001,"34.00S/07.00E-26CCA01",42.5904058311607,-121.852903503949,4238,201
USGS-423526121405901,"34.00S/09.00E-30BBD01",42.5904804418397,-121.682979725978,4280,ID_00000
USGS-423526121454401,"34S/8E-28DDB",42.5906094848191,-121.762353566761,4289,ID_00000
USGS-423528120501701,"34.00S/16.00E-28CAB01",42.5909450686986,-120.839038303987,6250,ID_00000
USGS-423537121531101,"34.00S/07.00E-28DBC01",42.5936138110708,-121.886326798423,4315,201
USGS-423538121430701,"34.00S/08.00E-25CBA01",42.5939991273421,-121.718591590811,4315,ID_00000
USGS-423538121520601,"34.00S/07.00E-27CAD01",42.5937639858562,-121.868223481268,4278,201
USGS-423539120524501,"34.00S/16.00E-30BCB01",42.5941476822305,-120.880295805468,6085,ID_00000
USGS-423542121531001,"34.00S/07.00E-28DBB01",42.5949610237281,-121.886035151721,4320,201
USGS-423551121515301,"34.00S/07.00E-27ACC01",42.5974250970004,-121.864854015354,4240,201
USGS-423558121452101,"34.00S/08.00E-27BBD01",42.5994094808152,-121.755853581319,4261,ID_00000
USGS-423600121515401,"34.00S/07.00E-27ABC01",42.5998972950057,-121.865067964324,4190,201
USGS-423603121464601,"34.00S/08.00E-28BBC01",42.6009592378193,-121.77939876509,4255,ID_00000
USGS-423610121511201,"34.00S/07.00E-26BBA01",42.6026723851113,-121.853387120964,4380,201
