well_id,well_name,lat,long,aquifer_id
1773,Spring Village 3 (Perrys),17.9671,-77.0698,3
1777,Springfield 3 ABD Index Well CHC 8/99,17.8596,-77.3335,4
1778,Springfield 4 SCOJ DWS Chc 8.99  Domestic,17.8594,-77.3354,4
1785,St. Jago 3 (ABD),17.9458,-77.3899,4
1786,St. Margarets Bay,18.2,-76.5141,10
1788,St. Pauls CH,18.2536,-78.2555,6
1791,Suttons 3,17.8188,-77.2617,4
1795,Tennants,17.9803,-76.9722,3
1797,Top Ellis (Domestic),18.0239,-76.9145,3
1800,Twickenham Park 2,17.999,-76.9358,3
1806,Vizzard Run 6A,17.8293,-77.2832,4
1812,West Albion (North) - Y2 CH,17.889,-76.6106,1
1813,West Albion (South) - Y5 CH,17.8896,-76.6078,1
1815,West Norman Lane 1 - Buff Bay,18.235,-76.6581,10
1822,Woodburn - Easington 2 CH (Yallahs),17.9121,-76.5867,1
1823,Woodlands Expl. 1,17.9817,-76.948,3
1828,York Pen,17.9421,-77.272,4
1829,York Pen 1,17.9457,-77.2737,4
1831,York Pen (Dug),17.9394,-77.2699,4
1835,Agualta Vale (Polo Common 1(R),18.2622,-76.7992,10
1836,Agualta Vale CH,18.2622,-76.7992,10
1837,Georgia Export CH 1,18.2576,-76.8031,10
1840,Golden Grove CH,18.2559,-76.7329,10
1865,Independence Park CH,17.9994,-76.7734,2
1869,Jordan Run CH,18.2489,-76.8135,10
1870,JPS Hunts Bay CH,17.9735,-76.8098,2
1872,Kelly Pen,17.9401,-77.1016,3
1890,Longwood,17.814,-77.2824,4
1891,Longwood 2,17.8047,-77.2791,4
1895,Low Ground 2 CH,18.0818,-77.2309,4
1904,Moneague BH 12,18.304,-77.1167,9
1905,Moneague BH 2,18.2718,-77.0792,9
1908,Mount Gotham CH 2,18.029,-76.9189,3
1916,Nain 16,17.9845,-77.6067,5
1937,Pepper 4,18.0154,-77.6187,5
1944,Porus 1,18.0347,-77.4208,4
1959,Rosewell Livestock,17.9617,-77.1674,4
1977,Tropiculture 2(R),17.8908,-76.5944,1
1981,Wakefield 3-Queen of Spain Valley,18.3974,-77.7314,8
1994,AR EB 5-2,17.9618,-76.9263,3
1995,AR EB 5-3,17.9597,-76.9241,3
2004,Arlington Dug (Index),18.002917,-77.778933,5
2014,Cane River,17.9462,-76.6969,2
2037,Burnt Savannah (Hopewell),18.0471,-77.7672,5
2041,Brownberry Expl. VII,17.9787,-77.7586,5
2045,Frenchman,17.8846,-77.7657,5
2050,Treasure Beach CH,17.8878,-77.743,5
2051,EB 7 (Casserly CH),18.3527,-78.284,6
2052,EB 1 (Doran CH),18.3444,-78.28,6
2053,EB 8 (Fish River Bluehole),18.3416,-78.2862,6
2055,EB 11 (Johnson's CH),18.3391,-78.2757,6
2056,EB 2 (Grants CH),18.335,-78.2732,6
2057,EB 5 (Dennis CH),18.3594,-78.2761,7
2064,Moneague BH 11 (Endeavour),18.2926,-77.108,9
2081,Clifton A,17.9706,-76.9245,3
2084,Barnstaple,18.407,-77.476,9
2098,Hotel Versalles,17.9544,-77.236,4
2101,Long Hill,18.0153,-77.6529,5
2133,Albion 1 Dug (Black),17.8849,-76.6135,1
2135,Catherine Mount Obs. 2,18.4601,-77.9107,7
2139,Greenfield Dug,18.0959,-77.7635,5
2140,Hampden Piezometer 1,18.4336,-77.7453,8
2141,Hampden Piezometer 2,18.4336,-77.7453,8
2143,Moneague BH 2A (Rio Hoe),18.2735,-77.0765,9
2144,Mountainside (Dug),17.9761,-77.7537,5
2146,Red Hill CH 2,17.8823,-76.5808,1
2149,Swift River Expl CH,18.1979,-76.5754,10
2150,Thatchfield CH,17.9355,-77.8022,5
2152,Top Big Ground,17.9411,-77.7752,5
2161,Newlands 2,17.9748,-76.897078,3
2166,Fort Stewart 1 (Abd) (Golden Grove),18.253,-76.738,10
2191,Appleton CH,18.165,-77.727,5
2192,Appleton Well,18.167707,-77.71878,5
2287,Priory CH,18.45251,-77.22697,9
